Number,Tournament,Season,Playoff round,Team 1,Team 2,Home odds game 1,Draw odds game 1,Away odds game 1,ELO Rating ,Home Goals game 1,Away goals game 1,Result,Goal difference,Team 2,Team 1,Home odds game 2,Draw odds game 2,Away odds game 2,ELO Rating ,Home Goals game 2,Away goals game 2,Result,Goal difference
118,Europa League ,1617,Semifinal,Celta Vigo,Manchester United,3.48,3.16,2.4,64.54720089,0,1,2,-1,Manchester United,Celta Vigo,1.59,4.01,7.13,-260.6769622,1,1,X,0
119,Europa League ,1617,Quarterfinal,Lyon,Besiktas,1.43,5.03,8.01,-299.3185914,2,1,1,1,Besiktas,Lyon,2.79,3.77,2.52,17.681465,2,1,1,1
120,Europa League ,1617,Quarterfinal,Celta Vigo,Genk,1.63,3.96,6.24,-233.1987941,3,2,1,1,Genk,Celta Vigo,2.55,3.72,2.78,-15.00184619,1,1,X,0
121,Europa League ,1617,Quarterfinal,Anderlecht,Manchester United,5.38,3.84,1.73,197.094469,1,1,X,0,Manchester United,Anderlecht,1.26,6.31,14.28,-421.7430649,1,1,X,0
122,Europa League ,1617,Quarterfinal,Ajax,Schalke,2.33,3.45,3.28,-59.40716907,2,0,1,2,Schalke,Ajax,2.19,3.91,3.24,-68.04035815,2,0,1,2
123,Europa League ,1617,1/8-final,FK Rostov,Manchester United,5.33,3.53,1.81,187.6194537,1,1,X,0,Manchester United,FK Rostov,1.24,6.25,17.95,-464.2571071,1,0,1,1
124,Europa League ,1617,1/8-final,FC Copenhagen,Ajax,2.26,3.17,3.76,-88.43176231,2,1,1,1,Ajax,FC Copenhagen,1.83,3.76,4.66,-162.3739308,2,0,1,2
125,Europa League ,1617,1/8-final,APOEL ,Anderlecht,3.39,3.3,2.34,64.39353632,0,1,2,-1,Anderlecht,APOEL ,1.43,5.2,7.52,-288.3527213,1,0,1,1
126,Europa League ,1617,1/8-final,Schalke,B. Monchengladbach,2.48,3.27,3.17,-42.64303256,1,1,X,0,B. Monchengladbach,Schalke,2.4,3.37,3.2,-49.97549464,2,2,X,0
127,Europa League ,1617,1/8-final,Olympiakos Piraeus,Besiktas,2.49,3.15,3.26,-46.80730119,1,1,X,0,Besiktas,Olympiakos Piraeus,1.73,3.7,5.66,-205.9081312,4,1,1,3
128,Europa League ,1617,1/8-final,Lyon,AS Roma,2.23,3.62,3.34,-70.17664151,4,2,1,2,AS Roma,Lyon,1.72,4.4,4.63,-172.0210176,2,1,1,1
129,Europa League ,1617,1/8-final,Gent ,Genk,2.18,3.2,3.95,-103.2562408,2,5,2,-3,Genk,Gent ,2.04,3.95,3.55,-96.23927425,1,1,X,0
130,Europa League ,1617,1/8-final,Celta Vigo,Krasnodar,1.56,4.03,7.38,-269.9727054,2,1,1,1,Krasnodar,Celta Vigo,2.72,3.33,2.79,-4.414119696,0,2,2,-2
131,Europa League ,1516,Semifinal,Villarreal,Liverpool,2.63,3.11,3.13,-30.23543562,1,0,1,1,Liverpool,Villarreal,1.66,4.17,5.66,-213.0833373,3,0,1,3
132,Europa League ,1516,Semifinal,Shakhtar Donetsk,Sevilla,2.76,3.31,2.81,-3.118895136,2,2,X,0,Sevilla,Shakhtar Donetsk,1.63,4.29,5.75,-218.9920961,3,1,1,2
133,Europa League ,1516,Quarterfinal,Villarreal,Sparta Prague,1.49,4.39,8.17,-295.6143152,2,1,1,1,Sparta Prague,Villarreal,3.76,3.53,2.12,99.5407936,2,4,2,-2
134,Europa League ,1516,Quarterfinal,Dortmund,Liverpool,1.67,4.09,5.6,-210.1886223,1,1,X,0,Liverpool,Dortmund,3.1,3.67,2.36,47.37987635,4,3,1,1
135,Europa League ,1516,Quarterfinal,Braga,Shakhtar Donetsk,2.75,3.27,2.85,-6.204866471,1,2,2,-1,Shakhtar Donetsk,Braga,1.76,4.11,4.76,-172.837714,4,0,1,4
136,Europa League ,1516,Quarterfinal,Ath Bilbao,Sevilla,2.3,3.43,3.4,-67.90043241,1,2,2,-1,Sevilla,Ath Bilbao,2.15,3.73,3.48,-83.65631361,1,2,2,-1
137,Europa League ,1516,1/8-final,Shakhtar Donetsk,Anderlecht,1.7,3.97,5.56,-205.8503481,3,1,1,2,Anderlecht,Shakhtar Donetsk,2.65,3.53,2.77,-7.693558051,0,1,2,-1
138,Europa League ,1516,1/8-final,Fenerbahce,Braga,1.92,3.45,4.81,-159.5375391,1,0,1,1,Braga,Fenerbahce,2.36,3.37,3.33,-59.81289221,4,1,1,3
139,Europa League ,1516,1/8-final,Dortmund,Tottenham,1.45,4.86,8.02,-297.1225464,3,0,1,3,Tottenham,Dortmund,3.7,3.72,2.08,100.0553556,1,2,2,-1
140,Europa League ,1516,1/8-final,Basel,Sevilla,3.04,3.38,2.53,31.90122497,0,0,X,0,Sevilla,Basel,1.55,4.54,6.42,-246.881332,3,0,1,3
141,Europa League ,1516,1/8-final,Villarreal,Bayer Leverkusen,2.34,3.34,3.41,-65.41540863,2,0,1,2,Bayer Leverkusen,Villarreal,2.01,3.69,3.96,-117.7996514,0,0,X,0
142,Europa League ,1516,1/8-final,Sparta Prague,Lazio,2.66,3.22,3,-20.89584724,1,1,X,0,Lazio,Sparta Prague,1.69,3.78,6.09,-222.6922352,0,3,2,-3
143,Europa League ,1516,1/8-final,Liverpool,Manchester United,2.11,3.35,4.02,-111.9774391,2,0,1,2,Manchester United,Liverpool,2.59,3.36,2.98,-24.3666,1,1,X,0
144,Europa League ,1516,1/8-final,Ath Bilbao,Valencia,1.69,4.14,5.35,-200.186831,1,0,1,1,Valencia,Ath Bilbao,3.3,3.48,2.32,61.21038199,2,1,1,1
145,Europa League ,1415,Semifinal,Sevilla,Fiorentina,1.7,4.16,5.2,-194.2217689,3,0,1,3,Fiorentina,Sevilla,2.08,4.02,3.4,-85.36623283,0,2,2,-2
146,Europa League ,1415,Semifinal,Napoli,Dnipro,1.43,4.9,8.37,-306.9557682,1,1,X,0,Dnipro,Napoli,4.26,3.58,1.97,133.9773492,1,0,1,1
147,Europa League ,1415,Quarterfinal,Wolfsburg,Napoli,1.9,3.84,4.3,-141.8859419,1,4,2,-3,Napoli,Wolfsburg,2.07,4,3.49,-90.7420326,2,2,X,0
148,Europa League ,1415,Quarterfinal,Sevilla,Zenit Petersburg,1.73,3.73,5.75,-208.6486966,2,1,1,1,Zenit Petersburg,Sevilla,2.43,3.51,3.09,-41.74088233,2,2,X,0
149,Europa League ,1415,Quarterfinal,Dyn. Kiev,Fiorentina,2.36,3.37,3.33,-59.81289221,1,1,X,0,Fiorentina,Dyn. Kiev,1.71,3.94,5.45,-201.3601568,2,0,1,2
150,Europa League ,1415,Quarterfinal,Club Brugge KV,Dnipro,2.07,3.4,4.15,-120.8311005,0,0,X,0,Dnipro,Club Brugge KV,1.97,3.45,4.48,-142.7247151,1,0,1,1
151,Europa League ,1415,1/8-final,Zenit Petersburg,Torino,1.69,3.71,6.33,-229.4068022,2,0,1,2,Torino,Zenit Petersburg,2.87,3.18,2.77,6.160851068,1,0,1,1
152,Europa League ,1415,1/8-final,Wolfsburg,Inter,1.66,4.33,5.35,-203.2982776,3,1,1,2,Inter,Wolfsburg,2.73,3.83,2.56,11.16907269,1,2,2,-1
153,Europa League ,1415,1/8-final,Dnipro,Ajax,2.18,3.34,3.78,-95.61412249,1,0,1,1,Ajax,Dnipro,1.83,3.7,4.9,-171.0979961,1,0,1,1
154,Europa League ,1415,1/8-final,Club Brugge KV,Besiktas,2.05,3.43,4.18,-123.7689683,2,1,1,1,Besiktas,Club Brugge KV,1.96,3.65,4.22,-133.2225518,1,3,2,-2
155,Europa League ,1415,1/8-final,Villarreal,Sevilla,2.06,3.56,3.94,-112.6516006,1,3,2,-2,Sevilla,Villarreal,2.5,3.69,2.87,-23.97675522,2,1,1,1
156,Europa League ,1415,1/8-final,Napoli,Dynamo Moscow,1.53,4.42,7.08,-266.1367307,3,1,1,2,Dynamo Moscow,Napoli,2.93,3.61,2.49,28.2673093,0,0,X,0
157,Europa League ,1415,1/8-final,Fiorentina,AS Roma,2.56,3.14,3.2,-38.7640052,1,1,X,0,AS Roma,Fiorentina,2.21,3.46,3.59,-84.28086996,0,3,2,-3
158,Europa League ,1415,1/8-final,Everton,Dyn. Kiev,2.27,3.31,3.6,-80.11065743,2,1,1,1,Dyn. Kiev,Everton,2.15,3.55,3.66,-92.41705019,5,2,1,3
159,Europa League ,1314,Semifinal,Sevilla,Valencia,1.76,3.92,5.05,-183.1114841,2,0,1,2,Valencia,Sevilla,2.28,3.64,3.25,-61.57940559,3,1,1,2
160,Europa League ,1314,Semifinal,Benfica,Juventus,2.87,3,2.85,1.21481469,2,1,1,1,Juventus,Benfica,1.58,4.23,6.53,-246.5024377,0,0,X,0
161,Europa League ,1314,Quarterfinal,Lyon,Juventus,6.05,3.98,1.66,224.6589146,0,1,2,-1,Juventus,Lyon,1.31,5.44,14.01,-411.6667359,2,1,1,1
162,Europa League ,1314,Quarterfinal,FC Porto,Sevilla,2.04,3.41,4.23,-126.68408,1,0,1,1,Sevilla,FC Porto,1.91,3.71,4.41,-145.3620889,4,1,1,3
163,Europa League ,1314,Quarterfinal,Basel,Valencia,3.12,3.38,2.48,39.88116528,3,0,1,3,Valencia,Basel,1.5,4.99,6.61,-257.6440802,3,0,1,3
164,Europa League ,1314,Quarterfinal,AZ Alkmaar,Benfica,5.14,3.6,1.83,179.4048117,0,1,2,-1,Benfica,AZ Alkmaar,1.3,5.74,13.48,-406.298616,2,0,1,2
165,Europa League ,1314,1/8-final,Ludogorets,Valencia,3.93,3.43,2.11,108.044038,0,3,2,-3,Valencia,Ludogorets,1.58,4.38,6.29,-239.9974234,1,0,1,1
166,Europa League ,1314,1/8-final,FC Porto,Napoli,2.1,3.49,3.81,-103.4822724,1,0,1,1,Napoli,FC Porto,1.98,3.63,4.16,-128.9712561,2,2,X,0
167,Europa League ,1314,1/8-final,Basel,Salzburg,3.92,3.66,2.03,114.3160116,0,0,X,0,Salzburg,Basel,1.47,4.99,7.19,-275.7646223,1,2,2,-1
168,Europa League ,1314,1/8-final,Tottenham ,Benfica,2.39,3.43,3.23,-52.32184855,1,3,2,-2,Benfica,Tottenham ,1.61,4.29,5.96,-227.3681535,2,2,X,0
169,Europa League ,1314,1/8-final,Sevilla,Betis,1.58,4.36,6.3,-240.273385,0,2,2,-2,Betis,Sevilla,4.26,3.72,1.93,137.540916,0,2,2,-2
170,Europa League ,1314,1/8-final,Lyon,Plzen,1.87,3.53,4.99,-170.5035756,4,1,1,3,Plzen,Lyon,2.35,3.48,3.26,-56.85989512,2,1,1,1
171,Europa League ,1314,1/8-final,Juventus ,Fiorentina,1.43,4.73,8.94,-318.4005925,1,1,X,0,Fiorentina,Juventus ,5.04,3.74,1.79,179.8310022,0,1,2,-1
172,Europa League ,1314,1/8-final,AZ Alkmaar,Anzi Makhackala,1.78,3.69,5.4,-192.789503,1,0,1,1,Anzi Makhackala,AZ Alkmaar,2.26,3.29,3.67,-84.22305004,0,0,X,0
173,Europa League ,1213,Semifinal,Fenerbahce,Benfica,3.15,3.41,2.44,44.36829098,1,0,1,1,Benfica,Fenerbahce,1.49,4.7,7.46,-279.8210236,3,1,1,2
174,Europa League ,1213,Semifinal,Basel,Chelsea,2.89,3.35,2.65,15.06078753,1,2,2,-1,Chelsea,Basel,1.57,4.2,6.8,-254.6437041,3,1,1,2
175,Europa League ,1213,Quarterfinal,Tottenham ,Basel,1.55,4.34,6.93,-260.1606146,2,2,X,0,Basel,Tottenham ,2.36,3.48,3.24,-55.05320289,2,2,X,0
176,Europa League ,1213,Quarterfinal,Fenerbahce,Lazio,2.18,3.35,3.77,-95.15394264,2,0,1,2,Lazio,Fenerbahce,1.78,3.78,5.08,-182.177484,1,1,X,0
177,Europa League ,1213,Quarterfinal,Chelsea,Rubin Kazan,1.63,3.83,6.94,-251.6687464,3,1,1,2,Rubin Kazan,Chelsea,2.66,3.31,2.92,-16.20048593,3,2,1,1
178,Europa League ,1213,Quarterfinal,Benfica,Newcastle Utd,1.47,4.59,8.23,-299.2330002,3,1,1,2,Newcastle Utd,Benfica,3.65,3.62,2.13,93.56530441,1,1,X,0
179,Europa League ,1213,1/8-final,Anzi Makhackala,Newcastle Utd,1.58,4.05,7.19,-263.2287214,0,0,X,0,Newcastle Utd,Anzi Makhackala,2.18,3.57,3.56,-85.19740175,1,0,1,1
180,Europa League ,1213,1/8-final,VfB Stuttgart,Lazio,2.06,3.48,4.01,-115.7108609,0,2,2,-2,Lazio,VfB Stuttgart,2.52,3.28,3.13,-37.65751871,3,1,1,2
181,Europa League ,1213,1/8-final,Plzen,Fenerbahce,1.96,3.53,4.42,-141.2664792,0,1,2,-1,Fenerbahce,Plzen,2.02,3.34,4.38,-134.4490964,1,1,X,0
182,Europa League ,1213,1/8-final,FCSB,Chelsea,3.49,3.26,2.35,68.70302587,1,0,1,1,Chelsea,FCSB,1.28,6.09,12.9,-401.3518963,3,1,1,2
183,Europa League ,1213,1/8-final,Tottenham ,Inter,1.68,4.17,5.4,-202.8337912,3,0,1,3,Inter,Tottenham ,2.4,3.56,3.1,-44.46018085,3,0,1,3
184,Europa League ,1213,1/8-final,Levante ,Rubin Kazan,2.19,3.32,3.81,-96.19234433,0,0,X,0,Rubin Kazan,Levante ,2.21,3.1,4.05,-105.2250998,0,0,X,0
185,Europa League ,1213,1/8-final,Benfica,Bordeaux,1.55,4.05,7.9,-282.9181572,1,0,1,1,Bordeaux,Benfica,2.8,3.2,2.86,-3.683200715,2,3,2,-1
186,Europa League ,1213,1/8-final,Basel,Zenit Petersburg,3.22,3.4,2.41,50.33553165,2,0,1,2,Zenit Petersburg,Basel,1.53,4.32,7.35,-272.6383633,1,0,1,1
187,Europa League ,1112,Semifinal,Sporting,Ath Bilbao,2.67,3.47,2.8,-8.258707991,2,1,1,1,Ath Bilbao,Sporting,1.62,4.25,5.97,-226.5837266,3,1,1,2
188,Europa League ,1112,Semifinal,Atl. Madrid,Valencia,2.08,3.58,3.8,-104.6881047,4,2,1,2,Valencia,Atl. Madrid,2.13,3.72,3.57,-89.71544507,0,1,2,-1
189,Europa League ,1112,Quarterfinal,Sporting,Metalist Kharkiv,2.02,3.53,4.15,-125.0786909,2,1,1,1,Metalist Kharkiv,Sporting,2.17,3.68,3.47,-81.54789638,1,1,X,0
190,Europa League ,1112,Quarterfinal,Schalke,Ath Bilbao,2.04,3.66,3.86,-110.7828549,2,4,2,-2,Ath Bilbao,Schalke,1.75,4.38,4.51,-164.4553973,2,2,X,0
191,Europa League ,1112,Quarterfinal,AZ Alkmaar,Valencia,2.8,3.51,2.64,10.22164179,2,1,1,1,Valencia,AZ Alkmaar,1.41,5.09,8.63,-314.7166732,4,0,1,4
192,Europa League ,1112,Quarterfinal,Atl. Madrid,Hannover,1.42,4.88,9.16,-323.8428517,2,1,1,1,Hannover,Atl. Madrid,3,3.76,2.38,40.21771907,1,2,2,-1
193,Europa League ,1112,1/8-final,Twente,Schalke,2.04,3.46,4.09,-120.8372562,1,0,1,1,Schalke,Twente,1.7,4.09,5.33,-198.5113151,4,1,1,3
194,Europa League ,1112,1/8-final,Sporting,Manchester City,4.87,3.45,1.91,162.5982376,1,0,1,1,Manchester City,Sporting,1.26,6.48,13.57,-412.883721,3,2,1,1
195,Europa League ,1112,1/8-final,Metalist Kharkiv,Olymiakos Piraeus,2.27,3.25,3.69,-84.40020359,0,1,2,-1,Olymiakos Piraeus,Metalist Kharkiv,1.97,3.61,4.22,-132.3384899,1,2,2,-1
196,Europa League ,1112,1/8-final,Atl. Madrid,Besiktas,1.29,5.9,13.07,-402.2743509,3,1,1,2,Besiktas,Atl. Madrid,4.12,3.7,1.97,128.1723959,0,3,2,-3
197,Europa League ,1112,1/8-final,Valencia,PSV,1.65,3.87,6.3,-232.7426421,4,2,1,2,PSV,Valencia,2.18,3.6,3.52,-83.23446795,1,1,X,0
198,Europa League ,1112,1/8-final,St. Liege,Hannover,2.54,3.39,2.98,-27.75301898,2,2,X,0,Hannover,St. Liege,1.72,3.74,5.79,-210.8600467,4,0,1,4
199,Europa League ,1112,1/8-final,Manchester United,Ath Bilbao,1.56,4.36,6.72,-253.6978699,2,3,2,-1,Ath Bilbao,Manchester United,2.59,3.65,2.74,-9.780319496,2,1,1,1
200,Europa League ,1112,1/8-final,AZ Alkmaar,Udinese,1.93,3.35,4.59,-150.5021506,2,0,1,2,Udinese,AZ Alkmaar,1.95,3.54,4.43,-142.5476459,2,1,1,1
201,Europa League ,1011,Semifinal,Benfica,Braga,1.74,3.69,5.77,-208.2506259,2,1,1,1,Braga,Benfica,2.86,3.44,2.63,14.56411386,1,0,1,1
202,Europa League ,1011,Quarterfinal,Dyn. Kiev,Braga,1.71,3.77,5.87,-214.2567963,1,1,X,0,Braga,Dyn. Kiev,2.4,3.53,3.13,-46.13323833,0,0,X,0
203,Europa League ,1011,Quarterfinal,Benfica,PSV,1.76,3.92,5.05,-183.1114841,4,1,1,3,PSV,Benfica,2.88,3.51,2.57,19.78374577,2,2,X,0
204,Europa League ,1011,1/8-final,PSV,Rangers,1.43,4.55,9.63,-331.3160999,0,0,X,0,Rangers,PSV,3.49,3.32,2.31,71.68537883,0,1,2,-1
205,Europa League ,1011,1/8-final,CSKA Moscow,FC Porto,3.01,3.26,2.62,24.10608171,0,1,2,-1,FC Porto,CSKA Moscow,1.56,4.36,6.55,-249.2466807,2,1,1,1
206,Europa League ,1011,1/8-final,Braga,Liverpool,3.03,3.29,2.58,27.92916902,1,0,1,1,Liverpool,Braga,1.45,4.66,8.65,-310.2592421,0,0,X,0
207,Europa League ,1011,1/8-final,Bayer Leverkusen,Villarreal,1.76,3.96,4.97,-180.3374884,2,3,2,-1,Villarreal,Bayer Leverkusen,2.41,3.66,3.02,-39.19596015,2,1,1,1
208,Europa League ,1011,1/8-final,Twente,Zenit Petersburg,2.52,3.44,3,-30.28828558,3,0,1,3,Zenit Petersburg,Twente,1.55,4.41,6.6,-251.6848949,2,0,1,2
209,Europa League ,1011,1/8-final,Dyn. Kiev,Manchester City,2.52,3.4,3.05,-33.15971943,2,0,1,2,Manchester City,Dyn. Kiev,1.53,4.33,7.31,-271.6903785,1,0,1,1
210,Europa League ,1011,1/8-final,Benfica,Paris SG,1.55,4.24,7.12,-264.8593182,2,1,1,1,Paris SG,Benfica,2.67,3.47,2.8,-8.258707991,1,1,X,0
211,Europa League ,1011,1/8-final,Ajax,Spartak Moscow,1.65,4.11,5.88,-220.7573527,0,1,2,-1,Spartak Moscow,Ajax,3.05,3.4,2.52,33.15971943,3,0,1,3
212,Europa League ,0910,Semifinal,Hamburger SV,Fulham,1.7,3.8,5.8,-213.1916289,0,0,X,0,Fulham,Hamburger SV,2.41,3.26,3.36,-57.72889393,2,1,1,1
213,Europa League ,0910,Semifinal,Atl. Madrid,Liverpool,2.42,3.44,3.16,-46.34868666,1,0,1,1,Liverpool,Atl. Madrid,1.65,4.3,5.58,-211.6601019,1,0,1,1
214,Europa League ,0910,Quarterfinal,Valencia,Atl. Madrid,1.83,3.79,4.72,-164.5963636,2,2,X,0,Atl. Madrid,Valencia,2.22,3.74,3.33,-70.43650362,0,0,X,0
215,Europa League ,0910,Quarterfinal,Hamburger SV,St. Liege,1.45,4.5,8.8,-313.245868,2,1,1,1,St. Liege,Hamburger SV,3.39,3.35,2.31,66.63508732,1,3,2,-2
216,Europa League ,0910,Quarterfinal,Fulham,Wolfsburg,2.16,3.59,3.57,-87.28578598,2,1,1,1,Wolfsburg,Fulham,1.65,4.29,5.5,-209.1514981,0,1,2,-1
217,Europa League ,0910,Quarterfinal,Benfica,Liverpool,2.35,3.23,3.52,-70.18992048,2,1,1,1,Liverpool,Benfica,1.67,4.25,5.43,-204.8333434,4,1,1,3
218,Europa League ,0910,1/8-final,Rubin Kazan,Wolfsburg,1.92,3.7,4.3,-140.0668908,1,1,X,0,Wolfsburg,Rubin Kazan,1.79,3.84,4.87,-173.8703721,1,1,X,0
219,Europa League ,0910,1/8-final,Lille,Liverpool,2.9,3.13,2.77,7.967291534,1,0,1,1,Liverpool,Lille,1.54,4.19,7.25,-269.1269143,3,0,1,3
220,Europa League ,0910,1/8-final,Hamburger SV,Anderlecht,1.65,3.9,6.14,-228.2737708,3,1,1,2,Anderlecht,Hamburger SV,2.52,3.42,2.97,-28.54236341,4,3,1,1
221,Europa League ,0910,1/8-final,Atl. Madrid,Sporting,1.75,3.77,5.3,-192.4951284,0,0,X,0,Sporting,Atl. Madrid,2.54,3.39,2.96,-26.58319778,2,2,X,0
222,Europa League ,0910,1/8-final,Valencia,SV Werder Bremen,1.96,3.71,4.08,-127.3616367,1,1,X,0,SV Werder Bremen,Valencia,2.06,3.65,3.7,-101.7338015,4,4,X,0
223,Europa League ,0910,1/8-final,Panathinaikos,St. Liege,1.67,3.85,6.04,-223.328187,1,3,2,-2,St. Liege,Panathinaikos,2.86,3.38,2.61,15.89021032,1,0,1,1
224,Europa League ,0910,1/8-final,Juventus ,Fulham,1.66,3.72,6.44,-235.5111117,3,1,1,2,Fulham,Juventus ,2.35,3.36,3.31,-59.5040526,4,1,1,3
225,Europa League ,0910,1/8-final,Benfica,Marseille,1.92,3.64,4.38,-143.2691527,1,1,X,0,Marseille,Benfica,2.14,3.44,3.7,-95.11518029,1,2,2,-1
226,Europa League ,0809,Semifinal,Dyn. Kiev,Shakhtar Donetsk,2.08,3.31,4.23,-123.310813,1,1,X,0,Shakhtar Donetsk,Dyn. Kiev,2.23,3.34,3.62,-84.16148299,2,1,1,1
227,Europa League ,0809,Semifinal,SV Werder Bremen,Hamburger SV,1.85,3.79,4.62,-158.9880989,0,1,2,-1,Hamburger SV,SV Werder Bremen,2.69,3.59,2.71,-1.286804349,2,3,2,-1
228,Europa League ,0809,Quarterfinal,Shakhtar Donetsk,Marseille,2.13,3.23,4.12,-114.607045,2,0,1,2,Marseille,Shakhtar Donetsk,1.78,3.85,4.96,-178.0246697,1,2,2,-1
229,Europa League ,0809,Quarterfinal,SV Werder Bremen,Udinese,1.56,3.98,7.1,-263.2535001,3,1,1,2,Udinese,SV Werder Bremen,2.62,3.53,2.79,-10.92116478,3,3,X,0
230,Europa League ,0809,Quarterfinal,Paris SG,Dyn. Kiev,2.31,3.36,3.41,-67.65695964,0,0,X,0,Dyn. Kiev,Paris SG,1.75,3.75,5.43,-196.7047124,3,0,1,3
231,Europa League ,0809,Quarterfinal,Hamburger SV,Manchester City,2.17,3.27,3.89,-101.395947,3,1,1,2,Manchester City,Hamburger SV,2.06,3.58,3.9,-110.8789547,2,1,1,1
232,Europa League ,0809,1/8-final,Hamburger SV,Galatasaray,1.8,3.63,5.01,-177.8260883,1,1,X,0,Galatasaray,Hamburger SV,2.2,3.35,3.47,-79.16271759,2,3,2,-1
233,Europa League ,0809,1/8-final,Dyn. Kiev,Metalist Kharkiv,1.88,3.41,5.17,-175.7330775,1,0,1,1,Metalist Kharkiv,Dyn. Kiev,2.73,3.28,2.78,-3.152859551,3,2,1,1
234,Europa League ,0809,1/8-final,CSKA Moscow,Shakhtar Donetsk,1.78,3.62,5.4,-192.789503,1,0,1,1,Shakhtar Donetsk,CSKA Moscow,2.13,3.4,3.9,-105.0740014,2,0,1,2
235,Europa League ,0809,1/8-final,Paris SG,Braga,1.81,3.5,5.74,-200.493327,0,0,X,0,Braga,Paris SG,2.37,3.3,3.35,-60.11858441,0,1,2,-1
236,Europa League ,0809,1/8-final,SV Werder Bremen,St Etienne,1.48,4.4,8.57,-305.0876426,1,0,1,1,St Etienne,SV Werder Bremen,3.4,3.26,2.39,61.23240644,2,2,X,0
237,Europa League ,0809,1/8-final,Udinese,Zenit Petersburg,2.43,3.37,3.21,-48.35950352,2,0,1,2,Zenit Petersburg,Udinese,1.79,3.71,4.86,-173.5132953,1,0,1,1
238,Europa League ,0809,1/8-final,Marseille,Ajax,1.82,3.61,5.48,-191.4836682,2,1,1,1,Ajax,Marseille,2.58,3.42,2.93,-22.09916576,2,1,1,1
239,Europa League ,0809,1/8-final,Manchester City ,Aalborg,1.5,4.25,8.61,-303.564757,2,0,1,2,Aalborg,Manchester City ,3.08,3.4,2.45,39.75385285,2,0,1,2
